wikidata_id	word	category
Q11902355	Westfalenterrier	Animal
Q12206278	Pariahund	Animal
Q12314116	Gollie	Animal
Q15782013	Alano	Animal
Q16639970	Großspitz	Animal
Q16893163	Terceira-Dogge	Animal
Q820953	Berkshire-Schwein	Animal
Q904165	Mangalica-Schwein	Animal
Q945552	Hängebauchschwein	Animal
Q956817	Pietrain	Animal
Q984092	Nordkaukasus-Schwein	Animal
Q1205207	Duroc-Schwein	Animal
Q1368810	Essex-Schwein	Animal
Q1814742	Leicoma	Animal
Q1918251	Meishan-Schwein	Animal
Q1952036	Mukota-Schwein	Animal
Q2461536	Turopolje-Schwein	Animal
Q2555124	Weideschwein	Animal
Q2900949	Kunekune	Animal
Q3113876	Tamworth-Schwein	Animal
Q3650021	Calabrese	Animal
Q5616471	Guineaschwein	Animal
Q542544	Angoraziege	
Q620984	Appenzellerziege	
Q645054	Saanenziege	
Q678017	Stiefelgeiss	
Q766176	Burenziege	
Q1297895	Tauernscheckenziege	
Q1305107	Girgentana-Ziege	
Q1366165	Erzgebirgsziege	
Q1492235	Gallaziege	
Q1568743	Pfauenziege	
Q1710305	Juan-Fernández-Ziege	
Q1779088	Zwergziege	
Q1792826	Kupferhalsziege	
Q1792868	Kupferziege	
Q2523612	Vierhornziege	
Q3445527	Roveziege	
Q3525633	Jamnapari	
Q106372428	Mongolenschaf	Animal
Q116205763	Walachenschaf	Animal
Q12203604	Teeswater-Schaf	Animal
Q12840284	Herik-Schaf	Animal
Q14524549	Gotlandschaf	Animal
Q16525708	Altamurana	Animal
Q8255129	Caldelana	Animal
Q14552149	Taurusrind	Animal
Q15717747	Khillar	Animal
Q15719566	Bargur	Animal
Q15975682	Kankrej-Rind	Animal
Q16136707	Sunandini	Animal
Q5	Mensch	
Q144	Hund	
Q146	Hauskatze	
Q152	Fisch	
Q726	Hauspferd	
Q780	Huhn	
Q830	Hausrind	
Q1367	Affe	
Q322890	Abondance	Animal
Q495553	Maine-Anjou	Animal
Q586876	Limousin	Animal
Q2892382	Bazadaise	Animal
Q2900118	Betizu	Animal
Q4971219	Charolais	Animal
Q16012026	Zwerg-Dresdner	
Q22675358	Yorkshire-Schweine	Animal
Q7308	Serengeti-Katze	Animal
Q7323	Toyger	Animal
Q7955	Abessinierkatze	Animal
Q7957	Aegean	Animal
Q7967	Antipodean	Animal
Q7974	Asian	Animal
Q7986	Tiffanie	Animal
Q9665	Balinesenkatze	Animal
Q9667	Bambino	Animal
Q29258	Burmilla	Animal
Q42539	Anatoli	Animal
Q42546	Chausie	Animal
Q42549	Angorakatze	Animal
Q99640545	Westiepoo	Animal
Q17044455	Philippinen-Rind	Animal
Q19899007	Hallikar	Animal
Q20803864	Witrug	Animal
Q243982	Zwerg-Orpington	Animal
Q244013	Zwerg-Sulmtaler	Animal
Q289829	Yokohama	Animal
Q325039	Ardenner	Animal
Q326301	Broiler	Animal
Q425976	Madras	Animal
Q429315	Amrock	Animal
Q445706	Altsteirer	Animal
Q474592	Mechelner	Animal
Q474894	Dresdner	Animal
Q489766	Andalusier	Animal
Q494252	Seidenhuhn	Animal
Q523950	Cubalaya	Animal
Q528387	Brakel	Animal
Q569853	Bassetten	Animal
Q5985803	Islandziege	
Q15087954	Rhönziege	
Q17509989	Simplonziege	
Q20659552	Cercopiteco	
Q20726748	Catmint	
Q21363706	Pan-Pleurodira	
Q21441841	Oncidium	
Q21447679	Mitrata	
Q22312407	Flussdelfin	
Q22662080	Falke	
Q23925140	Brombeeren	
Q24541362	Suspensionsfresser	
Q24944599	Zwergzebu	Animal
Q24944599	Zwergzebu	
Q26037433	Musaraigne	
Q26226431	Watvogel	
Q26271536	Weißfisch	
Q26271962	Kalkalgen	
Q27926410	Riesen-Huhn	
Q29001815	Gazellen	
Q110006522	Seidenspitz	Animal
Q42563	Birma-Katze	Animal
Q42566	Bombay-Katze	Animal
